Time      |Conveyor Belt       |KUKA Robot          |CNC Lathe           |Workpiece ID        |KUKA Operation      |CNC Lathe Operation 
          |Status    |R_Time   |Status    |R_Time   |Status    |R_Time   
13:42:19  |Idle      |-s       |Occupied  |3s       |Idle      |-s       |WID_DRL566          |Pickup              |null                
13:42:20  |Idle      |-s       |Occupied  |2s       |Idle      |-s       |WID_DRL566          |Pickup              |null                
13:42:21  |Idle      |-s       |Occupied  |1s       |Idle      |-s       |WID_DRL566          |Pickup              |null                
13:42:22  |Idle      |-s       |Occupied  |0s       |Idle      |-s       |WID_DRL566          |Pickup              |null                
13:42:24  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:25  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:26  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
13:42:27  |Idle      |-s       |Idle      |-s       |Occupied  |7s       |WID_DRL566          |null                |Turning             
13:42:28  |Idle      |-s       |Idle      |-s       |Occupied  |6s       |WID_DRL566          |null                |Turning             
13:42:29  |Idle      |-s       |Idle      |-s       |Occupied  |5s       |WID_DRL566          |null                |Turning             
13:42:30  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL566          |null                |Turning             
13:42:31  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL566          |null                |Turning             
13:42:32  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL566          |null                |Turning             
13:42:33  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL566          |null                |Turning             
13:42:34  |Idle      |-s       |Idle      |-s       |Occupied  |4s       |WID_DRL566          |null                |Drilling            
13:42:36  |Idle      |-s       |Idle      |-s       |Occupied  |3s       |WID_DRL566          |null                |Drilling            
13:42:37  |Idle      |-s       |Idle      |-s       |Occupied  |2s       |WID_DRL566          |null                |Drilling            
13:42:38  |Idle      |-s       |Idle      |-s       |Occupied  |1s       |WID_DRL566          |null                |Drilling            
13:42:39  |Idle      |-s       |Idle      |-s       |Occupied  |0s       |WID_DRL566          |null                |Drilling            
13:42:40  |Idle      |-s       |Idle      |-s       |Idle      |-s       |WID_DRL566          |null                |null                
Operation A Completed!
----------------------------------------------------------------------------------------------------------------------------------
